"교육청명","교육지원청명","유치원코드","유치원명","설립유형","교실수","교실면적","체육장","보건/위생공간","조리실/급식공간","기타공간","공시차수","주소"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0e4b-b044-e053-0a32095ab044","옥수예일유치원","사립(사인)","6개","422㎡","㎡","23㎡","20㎡","0㎡","20241","서울특별시 성동구 독서당로 191"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0e4c-b044-e053-0a32095ab044","조은유치원","사립(사인)","4개","236㎡","㎡","3㎡","27㎡","230㎡","20241","서울특별시 성동구 살곶이길 50"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0e81-b044-e053-0a32095ab044","서울숭신초등학교병설유치원","공립(병설)","4개","216㎡","60㎡","27㎡","12㎡","53㎡","20241","서울특별시 성동구 마장로 161"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0f38-b044-e053-0a32095ab044","서울사근초등학교병설유치원","공립(병설)","4개","297㎡","66㎡","33㎡","33㎡","322㎡","20241","서울특별시 성동구 사근동11길 16"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0f39-b044-e053-0a32095ab044","서울옥정초등학교병설유치원","공립(병설)","4개","272㎡","0㎡","107㎡","1215㎡","0㎡","20241","서울특별시 성동구 한림말길 43"
"서울특별시교육청","성동광진교육지원청","1ecec08d-0f50-b044-e053-0a32095ab044","로사유치원","사립(법인)","5개","462㎡","㎡","36㎡","11㎡","51㎡","20241","서울특별시 성동구 성덕정길 23"
"서울특별시교육청","성동광진교육지원청","442ef88e-43d6-4048-a12d-ed742301b58a","서울동명초등학교병설유치원","공립(병설)","4개","396㎡","66㎡","99㎡","99㎡","99㎡","20241","서울특별시 성동구 마장로29길 29"
"서울특별시교육청","성동광진교육지원청","907fd160-25a1-4048-8de4-27e545ebd656","서울금호초등학교병설유치원","공립(병설)","4개","270㎡","90㎡","33㎡","34㎡","101㎡","20241","서울특별시 성동구 무수막길 69"
"서울특별시교육청","성동광진교육지원청","c86bfe33-312b-465b-ae84-67bdc4e80ab3","서울경일초등학교병설유치원","공립(병설)","4개","123㎡","㎡","20㎡","17㎡","104㎡","20241","서울특별시 성동구 뚝섬로 332"
"서울특별시교육청","성동광진교육지원청","f9b5d3fc-3b2c-4803-b37a-481ad5a11f4b","서울무학초등학교병설유치원","공립(병설)","3개","198㎡","90㎡","72㎡","20㎡","112㎡","20241","서울특별시 성동구 무학봉15길 21"
"서울특별시교육청","성동광진교육지원청","1ecec08c-eee1-b044-e053-0a32095ab044","선경유치원","사립(법인)","6개","396㎡","㎡","66㎡","0㎡","301㎡","20241","서울특별시 광진구 뚝섬로66길 14"
"서울특별시교육청","성동광진교육지원청","1ecec08c-eee2-b044-e053-0a32095ab044","성산유치원","사립(법인)","3개","142㎡","193㎡","7㎡","37㎡","444㎡","20241","서울특별시 광진구 뚝섬로59길 18"
"서울특별시교육청","성동광진교육지원청","1ecec08c-eee4-b044-e053-0a32095ab044","프라임유치원","사립(사인)","9개","665㎡","㎡","76㎡","68㎡","387㎡","20241","서울특별시 광진구 광나루로56길 5"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f0da-b044-e053-0a32095ab044","서울자양초등학교병설유치원","공립(병설)","5개","325㎡","113㎡","49㎡","25㎡","44㎡","20241","서울특별시 광진구 아차산로44길 26"
"서울특별시교육청","성동광진교육지원청","1ecec08c-eee3-b044-e053-0a32095ab044","자양유치원","사립(사인)","3개","208㎡","㎡","0㎡","0㎡","0㎡","20201","서울특별시 광진구 자양로5길 36"
"서울특별시교육청","동부교육지원청","1ecec08c-f8dc-b044-e053-0a32095ab044","세하유치원","사립(사인)","9개","537㎡","228㎡","52㎡","27㎡","308㎡","20241","서울특별시 동대문구 장안벚꽃로 107"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f562-b044-e053-0a32095ab044","예일유치원","사립(사인)","4개","352㎡","㎡","0㎡","10㎡","122㎡","20191","서울특별시 광진구 천호대로111길 41"
"서울특별시교육청","성동광진교육지원청","1ecec08c-f1c6-b044-e053-0a32095ab044","광남유치원","사립(사인)","6개","348㎡","92㎡","30㎡","9㎡","238㎡","20241","서울특별시 광진구 아차산로70길 40"
