교육청명,교육지원청명,유치원코드,유치원명,설립유형,실내공기질 점검일자,실내공기질 점검결과,정기소독 의무대상시설여부,정기소독 점검일자,정기소독 점검결과,음용수종류(먹는샘물(생수)),음용수종류(정수기),음용수종류(상수도),음용수종류(지하수),지하수사용시 수질 검사여부,지하수사용시 검사일자,지하수사용시 검사결과,미세먼지 검사일자,미세먼지 검사결과,조도관리 검사일자,조도관리 검사결과,공시차수,주소
서울특별시교육청,북부교육지원청,1ecec08d-0e37-b044-e053-0a32095ab044,청원유치원,사립(법인),20240911,적합,Y,20240729,실시,-,O,-,-,N,-,-,20240911,-,20240911,-,20242,서울특별시 노원구 한글비석로 506
서울특별시교육청,북부교육지원청,1ecec08d-0e55-b044-e053-0a32095ab044,서울상경초등학교병설유치원,공립(병설),20240516,적합,Y,20240815,실시,-,-,O,-,N,-,-,20240516,-,20240516,-,20242,서울특별시 노원구 수락산로 237
서울특별시교육청,북부교육지원청,1ecec08d-0ef1-b044-e053-0a32095ab044,노원 삼육유치원,사립(법인),20240909,적합,Y,20240828,실시,-,-,O,-,N,-,-,20240909,-,20240909,-,20242,서울특별시 노원구 공릉로42길 13-1
서울특별시교육청,북부교육지원청,1ff76abf-a519-49f7-9c73-cdb63feb87e7,서울연지유치원,공립(단설),20240426,적합,Y,20240920,실시,-,-,-,-,-,-,-,20240426,-,20240426,-,20242,서울특별시 노원구 월계로55길 16
서울특별시교육청,북부교육지원청,233930d4-6ab2-4671-88de-f431e1ea4801,서울수락산유치원,공립(단설),20240910,적합,Y,20240926,실시,-,-,-,-,-,-,-,20240910,-,20240910,-,20242,서울특별시 노원구 동일로245길 162
서울특별시교육청,북부교육지원청,30a543a1-a1cd-4d01-b5a2-1ff881664d96,서울상원초등학교병설유치원,공립(병설),20240424,적합,N,20240712,실시,-,-,-,-,-,-,-,20240424,-,20240424,-,20242,서울특별시 노원구 한글비석로54길 119
서울특별시교육청,북부교육지원청,5273f8fa-4226-465b-8a8e-83d366b4c2fe,서울당현초등학교병설유치원,공립(병설),20240701,적합,Y,20240819,실시,-,-,-,-,-,-,-,20240701,-,20240701,-,20242,서울특별시 노원구 동일로213길 52
서울특별시교육청,북부교육지원청,55377202-19bf-46f9-93eb-e81f4c49ddba,서울용동초등학교병설유치원,공립(병설),20240528,부적합,N,-,미실시,-,-,-,-,-,-,-,20240318,-,20240528,-,20242,서울특별시 노원구 한글비석로1길 81-11
서울특별시교육청,북부교육지원청,7594e46b-0646-4ce2-9bce-ad3493a6b4ad,꿈동산아이유치원,사립(법인),20240530,적합,Y,20240912,실시,-,-,-,-,-,-,-,20240530,-,20240530,-,20242,서울특별시 노원구 동일로227길 26
서울특별시교육청,북부교육지원청,7b5c2e25-68ac-47e2-b661-53b594c85e6f,서울공연초등학교병설유치원,공립(병설),20240619,적합,Y,20240909,실시,-,-,-,-,-,-,-,20240619,-,20240619,-,20242,서울특별시 노원구 동일로192가길 16
서울특별시교육청,북부교육지원청,b773220d-b371-4bc5-85f6-2bb2c8d0fee0,서울월계초등학교병설유치원,공립(병설),20240618,적합,Y,20240922,실시,-,-,-,-,-,-,-,20240618,-,20240618,-,20242,서울특별시 노원구 월계로45가길 10
서울특별시교육청,북부교육지원청,d2ef6fed-c1e4-417d-8794-73f74106491f,서울계상초등학교병설유치원,공립(병설),20240621,적합,Y,20240923,실시,-,-,-,-,-,-,-,20240621,-,20240621,-,20242,서울특별시 노원구 한글비석로41가길 24
서울특별시교육청,북부교육지원청,f989a1f7-1610-4bc9-8ead-ddb5fdfdfe1e,서울태릉초등학교병설유치원,공립(병설),20240705,적합,Y,20240913,실시,-,-,-,-,-,-,-,20240705,-,20240705,-,20242,서울특별시 노원구 노원로1길 36
